hour,oaid,os,item_names,brand,sw,sh,,
0,29CF791A8A4240788D8E811C07870A5F075087b63391d886934e6e754cc615a8,Android_11,"战争,剧情",OPPO,1448,720,,
2,,,"爱情,都市,职场,芒果出品",apple,1170,2532,,
2,3DE68F77B11C4C60ACD41B0B28E33D557a9f4bff8d7409e637db30a4c0792a36,Android_12,"都市,爱情,芒果出品",OPPO,1080,2158,,
2,,,"都市,爱情,芒果出品",Hisense,,,,
6,,9,"爱情,古装,芒果出品,悬疑,剧情,网剧",XiaoAiTongXue,,,,
6,,9,"都市,爱情,芒果出品",PHILIPS,,,,
7,,,"芒果出品,悬疑,都市,言情",Xgimi,,,,
7,,Android_10,"亲子,芒果出品,真人秀",HONOR,720,1552,,
7,,,其他,Skyworth,,,,
8,,9,其他,hisense,,,,
8,,,"真人秀,访谈,搞笑",Xiaomi,,,,
8,,,"剧情,都市,芒果出品",apple,2388,1668,,
9,4E56B53777294EBCAA12F2ABE178D17F8ba84a05b55f3272336c8ed3a2e5e02b,Android_11,"爱情,都市",OPPO,1080,2264,,
9,,Android_10,其他,HONOR,2199,1080,,
9,cf29cfc3246fc770f46cbc56d8a936ecd058ee4aa166ef40ccbcc67f243edb43,Android_10,"喜剧,爱情,芒果出品",vivo,1080,2342,,
3,,,其他,apple,1170,2532,,
3,F60D50DC396C4E1AA93633C54071C69E0d6fe8556f2072c6a88ae8c3f0c5b889,Android_9,其他,OPPO,720,1456,,
4,,,"都市,职场",apple,1242,2688,,
5,37b5df8c2bf714f91670c3cc46e1be9d323382d5362b512b491b6dd74ccc1aad,Android_13,"都市,爱情,剧情",vivo,2342,1080,,
6,,Android_10,其他,HUAWEI,1200,2499,,
6,,9,"真人秀,美食",Hisense,,,,
7,918171bef1939b70,Android_11,"都市,爱情,剧情",Redmi,2174,1080,,
7,,,"古装,爱情,芒果出品",Hisense,,,,
8,AAFDDEC4FD804E629A7A58B198BDB548fc9ebf3218a57374a9e077778cd81b47,Android_11,"音乐,芒果出品",OPPO,1080,2340,,
8,,android_10,"爱情,都市,家庭",HONOR,1080,2282,,
8,,,"爱情,都市",MediaTek,,,,
8,,,其他,Xiaomi,,,,
9,,Android_10,"战争,剧情",HONOR,1080,2292,,
9,FA69D67B291B48C7A104B831F3DDAE40935af75cab0ec784241831b074036e8c,Android_13,"战争,剧情",OPPO,1080,2173,,
9,9A488B7D314F438C997CE8944C825AB89df6ac2a120b9bc33c0913a97bc2c6a5,Android_13,"芒果出品,青春,偶像,爱情,古装,网剧",OPPO,2285,1080,,
9,,,剧情,cmcc,,,,
9,,,"芒果出品,真人秀,明星,搞笑",ChangHong,,,,
9,,,"青春,偶像,校园",Xiaomi,,,,
0,351807d0d2cdac339a4cc276a7ed106f043f38aebaac96389161b6c8ad7f10e1,Android_11,"爱情,都市,家庭",vivo,1080,2090,,
0,,Android_11,"芒果出品,真人秀,明星,搞笑",HUAWEI,2562,1236,,
0,,,"战争,剧情",Xiaomi,,,,
1,,,"剧情,家庭",apple,1125,2436,,
3,,,"都市,剧情",Xiaomi,,,,
6,,,"爱情,都市,家庭",Xiaomi,,,,
7,,,"都市,爱情,芒果出品",HUAWEI,1080,2137,,
7,,,"明星,真人秀,音乐,芒果出品",apple,1170,2532,,
8,,Android_10,"纪实,生活,真人秀",HUAWEI,1080,1920,,
8,,,"爱情,都市",TCL,,,,
8,,,"都市,爱情",apple,2360,1640,,
8,98dd744978bb13f929c5017f72db741df0040a9f20351d5b3ceef9a5e04c936b,Android_11,"亲子,明星,真人秀,教育,芒果出品",vivo,1080,2342,,
9,,,"益智,芒果出品",apple,750,1334,,
9,,,"剧情,喜剧,爱情,家庭",Hisense,,,,
9,,,"都市,剧情",apple,1170,2532,,
9,,,"古装,爱情,芒果出品",haier,,,,
9,,,其他,PHILIPS,,,,
0,503808119cc7f98d,Android_11,"剧情,喜剧,爱情,家庭",Xiaomi,1600,2524,,
1,,,"古装,武侠,剧情,芒果出品",vivo,1080,2034,,
1,,,"爱情,都市,家庭",nemo,,,,
1,91D2ADB0D1EB4E5684ECE7724AF118D97aaf2eee890732cc7c70f23bdf474918,,"剧情,喜剧,芒果出品",OPPO,720,1424,,
2,,,"战争,剧情",apple,1170,2532,,
2,,,其他,Android,,,,
2,5FDDB8E0E93042CBBB017C8F2E77FB000cb7e62527f4595c8b984e2bfcd21942,Android_11,其他,OPPO,1080,2264,,
4,7ed9c8cc72da4861b117e73889ff691e7e438806fe01e74d9b4eea57d99d5286,Android_13,"爱情,剧情,喜剧,都市,家庭",vivo,1080,2313,,
5,dd84e56678dce70cf8cf08949847e835f9da074feb8a8d33295a5e73907dd0c4,Android_11,其他,vivo,1080,2320,,
6,,,"都市,爱情,芒果出品",Android,,,,
6,,9,"芒果出品,网剧,都市,爱情",hisense,,,,
7,,9,"都市,爱情,芒果出品",Sony,,,,
8,,,其他,Xiaodu,,,,
8,c7aa2fdb304ca004,Android_10,"战争,剧情",Redmi,2264,1036,,
8,,10,其他,HUAWEI,,,,
9,,9,"剧情,喜剧,爱情,家庭",HiDPT,,,,
0,75110AE93740407C9C6B4BE1DF822C06a29035587612344312245f667812e75b,Android_12,其他,OPPO,2285,1080,,
0,,,其他,Xiaomi,,,,
2,,,其他,lenovo,,,,
3,,,"都市,剧情",apple,2160,1620,,
4,,Android_9,"爱情,都市,家庭",HUAWEI,2208,1080,,
6,,,"都市,爱情",Allwinner,,,,
7,75d818a555649b817994544718972b606e427107903c5e7f59790d8707cfeac6,Android_12,"家庭,喜剧,青春",vivo,2313,1080,,
8,,9,"益智,芒果出品",xiaomi,,,,
8,,,"青春,校园",Xiaodu,,,,
8,27aeabdcbbff3ba6,Android_11,其他,Redmi,1080,2174,,
8,,,"年代,战争,抗战,剧情",TMB,,,,
9,,,其他,HUAWEI,1460,720,,
9,f5c900817110beeb5789dda066bbaac56a9dfbd2cb238ad29f8ba643908f83ac,Android_13,"都市,爱情",samsung,1080,2286,,
9,,Android_9,"芒果出品,真人秀,明星,搞笑",HONOR,1837,1200,,
9,4851758A8D8548F09DEE8ACFD32A594137c6efc287361d4bd7c70248011fb5b8,Android_11,"宫廷,古装,爱情,剧情",OPPO,2285,1032,,
9,7FB8F59A3A2544FBA9F54F7E4EB85F9Fe48ef0ed88cf9742f29e81399e050510,Android_12,"益智,真人秀,搞笑,芒果出品",realme,720,1448,,
9,d3800edb1ed40e4e4fb8b75d51d20c1a96ffe3d99bf684f68c75a8afcd345830,Android_11,"宫廷,古装,爱情,剧情",vivo,1443,1080,,
1,,,"爱情,都市,家庭",apple,1792,828,,
4,,Windows,"明星,真人秀,音乐,芒果出品",,,,,
5,,,其他,Xiaodu,,,,
7,,9,"偶像,都市,爱情,青春",xiaomi,,,,
7,,,"爱情,剧情,喜剧,都市,家庭",Letv,,,,
7,,,"都市,爱情",Xiaomi,,,,
7,2a5360b32ea09ad6,Android_13,"纪实,生活,真人秀",Redmi,1080,2316,,
8,,,"言情,穿越,古装,芒果出品",Xiaomi,,,,
9,,9,"真人秀,芒果出品",xiaomi,,,,
9,,Android_10,"芒果出品,校园,网剧,青春,偶像,爱情",HUAWEI,1200,2000,,
9,,,"真人秀,音乐",qcom,,,,
1,,Windows,"都市,爱情,剧情",,1440,960,,
3,,,"芒果出品,爱情,古装",apple,750,1334,,
6,,,"古装,爱情,芒果出品",Android,,,,
6,4C41A580681D493D8E6AE8C5A9B8AA8Dd2f924732b570adc9ce31615aec0e97e,Android_9,"芒果出品,悬疑,网剧,古装,喜剧",OPPO,720,1456,,
6,108872913066bebe487fb30ab91025e5fe25c60076d31f9c08de323454d7601d,Android_11,"爱情,剧情,喜剧,都市,家庭",vivo,1080,2283,,
